date,temperature_2m,relative_humidity_2m,dew_point_2m,wind_speed_10m,wind_gusts_10m,precipitation,rain,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,visibility,storm_index,IFI_calibrated,SSI,SIGATC_risk_score_v2,SIGATC_risk_label_v2,SIGATC_risk_description
2025-08-15 03:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 04:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 05:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 06:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 07:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 08:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 09:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 10:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 11:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 12:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 13:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
2025-08-15 14:00:00+00:00,26.9385,31.0,8.379841,11.901798,18.72,0.0,0.0,0.068,0.127,24140.0,0.37504163,0.04674657713621855,0.22260275,0.2142902216874063,green,Baixo risco — condições normais
